,name,description
1116,Arrange channels,Reorders the channels of each input image
1117,Blend images,Overlays greyscale or RGB images.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1118,Combine channel slices to RGB,"If the input image has 3 channel axis slices, those channels are merged into one RGB slice. Useful if you imported images via Bio-Formats or other importers that automatically split channels."
1119,Convert color image to HSB colors,Converts an image into an HSB image or re-interprets existing image channels as HSB. Please note that this node is designed for color images.
1120,Convert color image to LAB colors,Converts an image into an LAB image or re-interprets existing image channels as LAB. Please note that this node is designed for color images.
1121,Convert color image to RGB colors,Converts an image into an RGB image or re-interprets existing image channels as RGB. Please note that this node is designed for color images. Use 'Render to RGB'/'Convert image to RGB colors (Render)' if you have issues.
1122,Invert pixel values,"Inverts the values p of an image. With 8-bit images, p=255-p.<br/>With 16-bit images, p=65535-p, or p=255-p, p=1024-p, etc. if an \Unsigned 16-bit range\ is set using the \Set\ option of the Image>Adjust>Brightness/ Contrast dialog.<br/>With 32-bit images, p=max-(p-min), where 'min' and 'max' are the minimum and maximum displayed pixel values."
1123,Invert RGB colors,Inverts the colors by subtracting 255 from each RGB color channel.
1124,Invert pixel colors/values,"Inverts the colors/values p of an image. With 8-bit images, p=255-p.<br/>With RGB images, converts each pixel to three 8-bit pixels and uses p=255-p.<br/>With 16-bit images, p=65535-p, or p=255-p, p=1024-p, etc. if an \Unsigned 16-bit range\ is set using the \Set\ option of the Image>Adjust>Brightness/ Contrast dialog.<br/>With 32-bit images, p=max-(p-min), where 'min' and 'max' are the minimum and maximum displayed pixel values."
1125,Merge channels (classic),Merges each greyscale image plane into a multi-channel image. Implements the standard ImageJ algorithm for merging channels that either creates an RGB or a composite image. We recommend to use Blend images for creating renders and Merge channels (composite) that provide more options for the specific use cases.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1126,Merge HSB channels,Merges three greyscale images into one HSB image.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1127,Merge LAB channels,Merges three greyscale images into one LAB image.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1128,Merge RGB channels,Merges three greyscale images into one RGB image.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1129,Merge channels (classic),Merges each greyscale image plane into a multi-channel image. Implements the standard ImageJ algorithm for merging channels that either creates an RGB or a composite image. We recommend to use Blend images for creating renders and Merge channels (composite) that provide more options for the specific use cases.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1130,Merge channels (composite),"Creates a composite image by merging channels of the inputs. Behaves similar to the ImageJ channel merger with composite setting, but with custom colors. Please note that the channels will be merged in order of the input slots.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1131,Set to color (RGB),"Sets all pixels of the input image to the specified color. If the image is grayscale, the provided color is converted to its equivalent grayscale value.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1132,Set to content aware 2D,Sets pixels of the input image inside the masked area to a generated value. Please review the 'Methods' parameter to find out more about the methods.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1133,Set to value (grayscale),"Sets all pixels of the input image to the specified grayscale value. If the image is RGB, the value is converted into an integer that is parsed as RGB.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1134,Split channels,Splits multichannel images into multiple greyscale images. This operation is applied for each 2D image slice.
1135,Split channels by table,"Splits multichannel images into multiple greyscale images. This operation is applied for each 2D image slice. This node uses a reference table as secondary input that matches data to a channel assignment configuration.<br/>To configure this node, setup the set of annotation columns and the set of channel columns. The channel columns must be named according to the real (not labelled!) output slot name.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1136,Split channels (deprecated),Splits multichannel images into multiple greyscale images. This operation is applied for each 2D image slice.
1137,Split RGB channel into slices,Split each RGB image channel into its own plane which will be put into the 'Channel' axis.
1138,Color to greyscale (Expression),Applies a mathematical operation to each pixel to convert the color into a greyscale value.
1139,Render to RGB,"Converts the incoming image to RGB. This applies the LUT if any is set. Compared to the image converter node, this operation renders the image into a representation equivalent to an image viewer, meaning that contrast settings are preserved."
1140,Apply displayed contrast,Applies the displayed contrast settings of the image and writes them into the pixel values. Does nothing if the image is a 32-bit floating point image. The operation is applied to all slices.
1141,Apply ImageJ auto-contrast per slice,Applies the ImageJ contrast enhancer per slice (writing the pixel values). Applies optional histogram stretching.
1142,Adjust displayed contrast,"Re-calibrates the incoming image, so its color range is displayed differently by ImageJ. This does not change the pixel data. Please note that the displayed contrast is stored into the image itself. If you want to convert to 8-bit or 16-bit where the contrast is applied per slice, use 'Convert image to 8-bit (ImageJ auto-contrast)' or 'Convert image to 16-bit (ImageJ auto-contrast)'. If you want to do the same for 32-bit images, use 'Apply ImageJ auto-contrast per slice'"
1143,Enhance local contrast (CLAHE),"Applies 'Contrast Limited Adaptive Histogram Equalization' (CLAHE) to enhance contrast. Composite color images are converted into their luminance. If higher-dimensional data is provided, the results are generated for each 2D slice."
1144,Histogram-based contrast enhancer,Implementation of the ImageJ contrast enhancer feature that uses histograms and normalization methods.
1145,Illumination correction 2D,"Applies a Gaussian filter to the image and extracts the maximum value. Pixel values are then divided by this value.If higher-dimensional data is provided, the filter is applied to each 2D slice."
1146,Get pixels as matrix,Extracts the pixel values of an image and puts them into a table in form of a matrix.
1147,Image to table column,Copies the first column of an image into a new or existing column of a table. Opposite operation to 'Table column to image'.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1148,Get pixels as table,"Extracts the pixel values of an image and puts them into a table. The table always includes columns <code>x</code>, <code>y</code>, <code>z</code>, <code>c</code>, and <code>t</code>. For greyscale images, the value is stored into a column <code>value</code>. For color images, column names depend on the color space."
1149,Convert matrix to image,Converts a table that represents a matrix into an image. The matrix can contain color values (HEX colors) if a color image is requested.
1150,Get pixels as table (multiple images),"Extracts the pixel values of multiple images and puts them into a table. The table always includes columns <code>x</code>, <code>y</code>, <code>z</code>, <code>c</code>, and <code>t</code>. For greyscale images, the value is stored into a column named according to the input. For color images, column names depend on the color space and are named <code>SLOT_NAME.COLOR_CHANNEL</code>.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1151,Table column to image,Converts a selected numeric table column into an image with 1px width and a height based on the number of rows. Opposite operation to 'Image to table column'.
1152,Convert table to image,Converts a table of pixel information into an image
1153,Convolve 2D (Parameter),"Applies a convolution with a user-defined filter kernel. The kernel is defined by a parameter.If higher-dimensional data is provided, the filter is applied to each 2D slice. For the most precise results, we recommend to convert the image to 32-bit before applying a convolution. Otherwise ImageJ will apply conversion from and to 32-bit images itself, which can have unexpected results."
1154,Convolve 2D,"Applies a convolution with a user-defined filter kernel. The kernel is defined by a second parameter slot.If higher-dimensional data is provided, the filter is applied to each 2D slice. For the most precise results, we recommend to convert the image to 32-bit before applying a convolution. Otherwise ImageJ will apply conversion from and to 32-bit images itself, which can have unexpected results.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1155,Data to preview,Converts any data into preview image. Does not generate a result if no previews are supported.
1156,Reduce & split hyperstack (Expression),"Uses expressions to create custom stacks. There are three expressions, one for each Z, channel and frame plane that return numeric indices of slices that should be generated. You can optionally enable to iterate over all incoming slices of the image to generate multiple stacks. If no iteration is enabled (default), each expression is only executed for z=0,c=0,t=0."
1157,Custom extended depth of focus (Z/C/T),"Performs a Z, C, or T-Projection that selects the best-scoring pixel from the Z/C/T column. If no score image is provided, an automatically generated score is generated by either applying Sobel filter (Tenengrad), or by calculating the local variance. The resulting automatically generated score is then blurred using a Gaussian blur.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1158,Reduce & split hyperstack,Slices a hyperstack via a range of indices.
1159,Split by dimension,Splits a hyperstack by a selected dimension into a single or multiple output slots. Multiple output slots can be utilized to split specific indices.
1160,Montage of input images,"Creates a montage of all 2D input images. The montage labels can be generated by available annotations. This node is deprecated. Use the node 'Create montage'.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1161,Create montage,"Creates a montage of all input images. Supports 2D and 3D images.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1162,Merge 2D slices into hyperstack,"Merges all incoming 2D slices into a hyperstack. The slice positions within the hyperstack can be controlled via expressions. The node can handle missing and negative slice positions due to a remapping procedure. Please ensure that there are no duplicate locations.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1163,Montage to stack,Slices an image montage into a stack.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1164,Reorder hyperstack slices (Expression),Uses an expression that iterates through all hyperstack slices to assign a new location within the output hyperstack. Can also filter slices based on the location.
1165,Reorder dimensions,"Reorders dimensions of hyperstacks. This for example allows you to switch the depth and time axis. If a stack is provided, it is interpreted as hyperstack with depth and with one frame and one channel. 2D images are ignored and passed to the output without processing."
1166,Reslice,Defines a new Z axis and projects the image so that its Z axis is the newly defined one.
1167,Combine stacks,"Combines the incoming stacks into one by adding the corresponding slices of the second stack to the first one. For example, this allows to combine two one-channel stacks with the same number of slices into one with two channels. This node has similar functionality to the 'Merge stacks into dimension' node.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1168,Split stack into 2D,Splits high-dimensional image stacks into 2D planes
1169,Stack to montage,Converts an image stack into a montage. <br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1170,Stack to montage,Converts an image stack into a montage. Deprecated. Use the algorithm with the same name.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1171,Invert 3D stack Z-order,Inverts the order of a Z-stack.
1172,Create 3D stack,"Merges 2D image planes into a 3D stack. Data annotations are used to put images into groups. All images in a group are then merged into a 3D stack. The order of the stack slices is determined by the 'Slice index annotation' that is ignored while defining the groups.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1173,Merge hyperstack C/Z/T,"Merges multiple stacks that miss a dimension into the target dimension. Requires that all incoming stacks have the same size and that there is only one slice in the created dimension. The type of the output image is determined by the consensus bit depth. This node has similar functionality to the 'Combine stacks' node. If no order (ascending) is given for each input, the order of input images is determined by the order in the slot list.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1174,Merge hyperstack C/Z/T (single input),"Merges multiple stacks that miss a dimension into the target dimension. Requires that all incoming stacks have the same size and that there is only one slice in the created dimension. The type of the output image is determined by consensus bit depth. This node has similar functionality to the 'Combine stacks' node.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1175,Reduce & split stacks (slice),Splits incoming stacks into a customizable amount of stacks based on stack indices. Add more output slots to create more groups. Please note that this node utilizes slice indices and cannot handle 5D images. Please use 'Reduce & split hyperstack' or 'Reduce & split hyperstack (Expression)' if you want to properly handle 5D images.
1176,Z-Project,Performs a Z-Projection. Also supports other axes C-Project/T-Project.
1177,Z-Project (classic),"Performs a Z-Projection. This version of the Z-project algorithm wraps around the native ImageJ function and can only handle 3D images. If you have a hyperstack (4D+), use the other Z-project algorithm."
1178,Canny edge detector 2D,"Applies a Canny edge detector. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1179,Laplacian operator 2D,"Applies a Laplacian operator. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1180,Sobel edge detector 2D,"Applies a Sobel edge detector. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1181,Export OME ZARR,Writes an OME ZARR into a directory or ZIP file
1182,Extract OME ROI,Extracts the ROI from an OME image
1183,Extract OME XML,Extracts the OME metadata XML from an OME image
1184,Alternating Morphological Filters (AMF) 2D,"Applies Alternating Morphological Filters (AMF) to the image. Applies the following transformation to the input image f: <code>MTC = MAX(0, Closing(r1, Opening(r1, Closing(r1, f))) - Opening(r2, Closing(r2, Opening(r2, f)))</code>. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1185,Difference of Gaussian 2D,"Applies Gaussian blur to the input image twice with different sigma values resulting in two images which are then subtracted from each other. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1186,Directional filter 2D,"Filter that enhances curvilinear structures by applying oriented filters, while preserving their thickness. More information: https://imagej.net/plugins/morpholibj. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1187,Derivatives features 2D/3D (FeatureJ),"Multi-dimensional, Gaussian-scaled derivatives of images, which form the basis of differential-geometric descriptions of image features found in literature on human and computer vision. The differentiation operation is carried out for each time frame and channel in a 5D image.Derivative images are obtained by separable convolution with derivatives of the multi-dimensional Gaussian function. This necessarily involves sampling and truncation of the continuous Gaussian function. At very small smoothing scales (less than about half the derivative order), this causes sampling artifacts, whereas at very large scales (where the kernel would have to be larger than twice the image size in the corresponding dimension), this causes truncation artifacts. In both cases, the sampled convolution kernel does not faithfully represent the shape of the original continuous function (due to undersampling or truncation), and the results become meaningless. The algorithm uses mirror-boundary conditions to obtain values outside the image at (positions close to) the boundaries."
1188,Hessian 2D/3D (FeatureJ),"Computes Hessian the eigenvalues of the Hessian, which can be used for example to discriminate locally between plate-like, line-like, and blob-like image structures. All largest eigenvalues are put in a separate image, as are all smallest, and in 3D all middle as well. If the size of the image is unity in the z-dimension (single slice), the node computes 2D-Hessian eigenvalues, otherwise it computes 3D-Hessian eigenvalues (for each time frame and channel in a 5D image)."
1189,Structure 2D/3D (FeatureJ),"Computes for each image element (pixel/voxel) the eigenvalues of the so-called structure tensor, which can be used for example in texture analysis and image enhancement filtering. Due to the positive-semi-definiteness of the structure tensor, the eigenvalues are always larger than or equal to zero. If the size of the image is unity in the z-dimension (single slice), the node computes 2D-tensor eigenvalues, otherwise it computes 3D-tensor eigenvalues (for each time frame and channel in a 5D image)."
1190,Detect corners 2D (Harris),OrientationJ implementation of the the Harris corner detection.
1191,Laplacian of Gaussian 2D,"Applies a Laplacian of Gaussian filter. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1192,Local maxima 2D,"Finds the local maxima of each image. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1193,Morphological Feature Contrast (MFC) 2D,"Calculates the Morphological Feature Contrast (MFC) of the image. For upper MFC, applies the following transformation to the input image f: <code>MFC+ = MAX(0, f - Opening(r2, Closing(r1, f)))</code>. For lower MFC, applies the following transformation to the input image f: <code>MFC- = MAX(0, Closing(r2, Opening(r1, f)) - f)</code>. For the full MFC, applies the following transformation to the input image f: <code>MFC = MFC+ + MFC-</code>. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1194,Morphological Texture Contrast (MTC) 2D,"Calculates the Morphological Texture Contrast (MTC) of the image. Applies the following transformation to the input image f: <code>MTC = MAX(0, Opening(r2, Closing(r1, f)) - Closing(r2, Opening(r1, f)))</code>. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1195,Orientation features 2D (OrientationJ),Extracts various orientation-related features from the input image. These are the same features as produced by the OrientationJ Analysis.
1196,Shadows 2D,Produces a shadows effect in the given direction
1197,Frangi vesselness,Applies the vesselness filter developed by Frangi et al.
1198,FFT Bandpass filter,Applies a Bandpass filter
1199,2D FFT forward transformation,Converts a real space image into an image in frequency space.
1200,2D FFT inverse transformation,Converts a frequency space image into an image in real space.
1201,2D FFT swap quadrants,Swaps the quadrants of a frequency space image.
1202,Kuwahara filter 2D (square/linear),"Applies a Kuwahara filter, a noise-reduction filter that preserves edges. Also supports the linear Kuwahara algorithm. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1203,Generate structure element (3D),Generates a structure element that is consistent with the ones used by the 3D morphological operation.
1204,Generate structure element,Generates a structure element that is consistent with the ones used by the 2D morphological operation.
1205,Generate missing tables,"Generates placeholder or empty tables for data that are not paired with a matching table in the same iteration step. <br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one or multiple data item per slot. If items are missing, they will be generated according to this node's generator function. Otherwise data will be passed through."
1206,Generate missing tables,"Generates placeholder or empty tables for data that are not paired with a matching table in the same iteration step. <br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one or multiple data item per slot. If items are missing, they will be generated according to this node's generator function. Otherwise data will be passed through."
1207,Create empty image,Creates a new image that is black.
1208,Extract image metadata as table,Extracts the metadata (properties map) of the image and writes them into a table
1209,Remove/Filter image metadata,Allows to filter/remove specific image metadata entries
1210,Set image metadata from table,Sets the image metadata (property map) from a table. Only the first row is utilized.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1211,Set image properties from expressions,Sets properties of the input images to values extracted from expressions.
1212,Invert LUT,"Inverts the current LUT. If no LUT is set, a white-to-black LUT is generated. This does not change the pixel data."
1213,Annotate with label overlap,Compares two label or binary images and calculates measurements of their overlap error or agreement. Measurements include: <ul><li>Overlap</li><li>Jaccard index</li><li>Dice coefficient</li><li>Volume Similarity</li><li>False Negative Error</li><li>False Positive Error</li></ul><br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1214,Crop labels,Crops all or a specific subset of labels from the image.
1215,Dilate labels,Applies a constrained dilation of labels without unwanted growing/shrinking bordering regions (dilation only over the background)
1216,Expand labels,Adds space between labels to make them more easily distinguishable
1217,Extract label statistics 2D,"Extracts statistics for all labels in the image. Statistics are extracted over an image (optional). If no image is supplied, the label itself will be used as the image. If higher-dimensional data is provided, the filter is applied to each 2D slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1218,Keep/Delete labels by overlap,"Deletes or keeps labels by a mask image. If the mask is white (value larger than zero) on overlapping a pixel, the associated label is kept or deleted (depending on the setting)<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1219,Filter Labels by overlap 2D,"Filters the labels by testing for mutual overlap. The Labels 1 output contains all Labels 1 input labels that overlap with any of Labels 2. The Labels 2 output contains all Labels 2 input labels that overlap with a Labels 1 Labels. If higher-dimensional data is provided, the filter is applied to each 2D slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1220,Filter labels by statistics 2D,"Filters the ROI list elements via statistics. Statistics are extracted over an image (optional). If no image is supplied, the label itself will be used as the image. If higher-dimensional data is provided, the filter is applied to each 2D slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1221,Filter labels by expression 2D,"Filters labels with a filter expression. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1222,Filter labels by expression 3D,Filters labels with a filter expression.
1223,Filter labels by id,Allows to keep only a specific set of labels.
1224,Filter labels by thickness 2D,Filter labels by their thickness as estimated by a EDT per label<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1225,Get label boundaries,Creates a mask that is 255 at the boundary between two labels and background.
1226,Keep largest label,Keep only the largest label
1227,Merge labels (bin) 2D,"Merges labels into a specified number of of bins. The values are distributed so uniformly unless 'Equalize frequencies' is enabled. The resulting labels are determined by the bin index.  If the image has multiple slices, the algorithm is applied per slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1228,Merge labels (min thickness) 2D,"Merges labels until the thickness of the label reaches a minimum threshold. If the image has multiple slices, the algorithm is applied per slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1229,Merge label inside ROI,Sets all labels inside the specified ROI to the same value.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1230,Merge small labels,Merges labels with a low number of pixels to its neighboring label set (larger or smaller).<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1231,Measure label overlap,Compares two label or binary images and calculates measurements of their overlap error or agreement. Measurements include: <ul><li>Overlap</li><li>Jaccard index</li><li>Dice coefficient</li><li>Volume Similarity</li><li>False Negative Error</li><li>False Positive Error</li></ul><br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1232,Remap labels,Ensures that the labels in the given label image range from 1 to Lmax.
1233,Remove border labels,Sets all labels to zero that are connected to the image borders.
1234,Remove largest label,Remove the label with the largest area
1235,Replace label values by table,"Replaces label values by a mapping as specified in a table. The table should contain two columns, one for the old label and a second column defining the replacement value.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1236,Replace label values,Replaces label values by the specified value.
1237,Separate touching labels,Finds pixels that border two different label values and sets them to the background value. Background pixels (value 0) are ignored.
1238,Split labels into individual images,Splits all labels from a labels image into their own image. Can be reverted with Image calculator 2D (merge).
1239,Split labels (connected components) 2D,"Splits labels that have the same value, but are not in the same connected component. Please note that that all label values will be re-assigned."
1240,Convert labels to mask,Converts a label image to a mask
1241,Convert labels to RGB,Visualizes a labels image by assigning a color to each label component
1242,Labels to ROI,"Converts a label image into a set of ROI. Labels must have a value larger than zero to be detected.If higher-dimensional data is provided, the filter is applied to each 2D slice. The Z/C/T coordinates of the source slices are saved inside the ROI."
1243,Legacy compare pixels 2D (where),"Compares each pixel position and returns a 255 where the condition applies and 0 where the condition does not apply.If higher-dimensional data is provided, the filter is applied to each 2D slice. 'Fast image arithmetics' covers the feature set of this node.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1244,Divide by maximum,Divides greyscale pixel values by the global maximum across all slices.
1245,Euclidean distance transform 2D,"Applies a euclidean distance transform on binary images.If higher-dimensional data is provided, the filter is applied to each 2D slice."
1246,Extended maxima 2D,"Returns the extended maxima. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1247,Extended maxima 3D,Returns the extended minima.
1248,Extended minima 2D,"Returns the extended minima. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1249,Extended minima 3D,Returns the extended minima.
1250,Fast image arithmetics 2D,"Applies standard arithmetic and logical operations including, addition, subtraction, division, multiplication, GAMMA, EXP, LOG, SQR, SQRT, ABS, AND, OR, XOR, minimum, maximum, and more.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1251,Generate image from math expression,Applies a mathematical operation to each pixel. The value is written into the image.
1252,Generate missing from math expression,"Generates an image if it cannot be matched to a reference in a iteration step according to the mathematical operation. Applies a mathematical operation to each pixel. The value is written into the image. <br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one or multiple data item per slot. If items are missing, they will be generated according to this node's generator function. Otherwise data will be passed through."
1253,Generate missing image,"Generates an empty (black) image if it cannot be matched to a reference<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one or multiple data item per slot. If items are missing, they will be generated according to this node's generator function. Otherwise data will be passed through."
1254,Generate vector field from math expression,Generates a vector field by utilizing a math expression. The expression must return an array of numbers (or scalar if there are only 1 components).
1255,"Hessian 2D (FeatureJ, old)","Deprecated: Replace with node with the same name. Computes Hessian the eigenvalues of the Hessian, which can be used for example to discriminate locally between plate-like, line-like, and blob-like image structures.If higher-dimensional data is provided, the filter is applied to each 2D slice."
1256,Slow image arithmetics (Expression),"Applies a pixel-wise mathematical operation that produces a single output image. Please note that this node applies an expression for each pixel, which has a considerable performance cost. We recommend to use 'Fast image arithmetics' instead.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1257,Legacy image calculator 2D (merge),"Applies a mathematical operation between multiple images. The algorithm iteratively applies the operation to each image in the following order: f( f( f( f(image 1, image 2), image 3), image 4), ... The order is determined by how JIPipe calculates the merging and currently cannot be controlled.If higher-dimensional data is provided, the filter is applied to each 2D slice.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of multiple data items. If you want to group all data into one output, set the matching strategy to 'Custom' and leave 'Data set matching annotations' empty."
1258,Legacy image calculator 2D,"Applies a mathematical operation between two images. If higher-dimensional data is provided, the filter is applied to each 2D slice. Old implementation that directly uses the one provided by ImageJ. We recommend to use 'Fast image arithmetics' instead.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1259,Impose maxima 2D,Repeatedly dilate the input image until regional maxima fit the maxima mask.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1260,Impose maxima 2D,Repeatedly dilate the input image until regional maxima fit the maxima mask.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot.
1261,Local image calculator 2D (Expression),"Applies a pixel-wise mathematical operation that produces a single output image. Available are both the current pixel values, as well as the local areas around these pixels.<br/><br/>This algorithm groups the incoming data based on the annotations. Those groups can consist of one data item per slot."
1262,Local maximum 2D,"Calculates the local maximum around each pixel. This is also referred as greyscale dilation. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1263,Local maximum 3D,"Calculates the local maximum around each pixel. This is also referred as greyscale dilation. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 3D slice."
1264,Local mean 2D,"Calculates the local mean around each pixel. This is also referred as greyscale dilation. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1265,Local mean 3D,"Calculates the local mean around each pixel. This is also referred as greyscale dilation. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 3D slice."
1266,Local minimum 2D,"Calculates the local minimum around each pixel. This is also referred as greyscale erosion. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1267,Local minimum 3D,"Calculates the local minimum around each pixel. This is also referred as greyscale erosion. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 3D slice."
1268,Local variance 2D,"Calculates the local variance around each pixel. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1269,Local variance 3D,"Calculates the local variance around each pixel. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 3D slice."
1270,Apply expression per pixel (color),Applies a mathematical operation to each pixel. The three available channels can be addressed individually. Please note that is node has a high computational cost.
1271,Apply expression per pixel (greyscale),Applies a mathematical operation to each pixel. Please note that is node has a high computational cost. Check if you can replace it with 'Fast image arithmetics'.
1272,Legacy image math operation (scalar),"Applies a mathematical operation to each pixel. Supported operations are SET, ADD, SUBTRACT, MULTIPLY, DIVIDE, GAMMA, MINIMUM, MAXIMUM, LOGICAL OR, LOGICAL AND, and LOGICAL XOR. We recommend to use 'Fast image arithmetics' instead."
1273,Regional maxima 2D,"Returns the regions that have a constant intensity value and are surrounded by lower intensity values. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1274,Regional minima 3D,Returns the regions that have a constant intensity value and are surrounded by higher intensity values.
1275,Regional minima 2D,"Returns the regions that have a constant intensity value and are surrounded by higher intensity values. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1276,Regional minima 3D,Returns the regions that have a constant intensity value and are surrounded by higher intensity values.
1277,Replace NaN by local median,"Filter that removes NaN values from floating point images by replacing them by the local median. If a multi-channel image is provided, the operation is applied to each channel. If higher-dimensional data is provided, the filter is applied to each 2D slice."
1278,Round float image,Rounds the values in a 32-bit image to a specific number of decimals
1279,Apply transformation,"Applies a mathematical function to each pixel. Supported operations are: ABS, INVERT, SQUARE, LOGARITHM, SQRT, and EXP"
